taxi|Taksówka|Taxi, kurs, lotnisko, transfer
ride_hailing|Przewóz osób|Uber, Bolt, aplikacja, kierowca
chauffeur|Usługi szoferskie|Kierowca prywatny, limuzyna, szofer
driving_school|Szkoła jazdy|Nauka jazdy, instruktor, prawo jazdy
translation|Tłumaczenia|Tłumacz, dokumenty, akty, umowa
interpreting|Tłumaczenia ustne|Tłumacz ustny, symultaniczne, konferencja, sąd
sworn_translation|Tłumaczenia przysięgłe|Przysięgły, uwierzytelnione, akt, dyplom
language_school|Szkoła językowa|Kursy językowe, lekcje, lektor
removals|Przeprowadzki|Firma przeprowadzkowa, meble, kartony, bus
international_removals|Przeprowadzki międzynarodowe|Zagranica, kontener, cło
courier|Kurier|Paczka, przesyłka, ekspres, dostawa
freight_forwarding|Spedycja|Spedytor, logistyka, paleta, ładunek
refrigerated_transport|Transport chłodniczy|Chłodnia, mrożonki, łańcuch chłodniczy
haulage|Transport ciężarowy|Tir, ciężarówka, naczepa, przyczepa
storage_warehousing|Magazynowanie|Magazyn, hala, paleta, przechowywanie
customs_brokerage|Agencja celna|Cło, import, eksport, odprawa
excavation|Roboty ziemne|Koparka, wykop, niwelacja, ziemia
crane_hire|Wynajem dźwigów|Dźwig, żuraw, podnoszenie
scaffolding|Rusztowania|Rusztowanie, podest, elewacja
demolition|Rozbiórki|Wyburzanie, demontaż, gruz
concrete_works|Roboty betonowe|Beton, wylewka, fundament, szalunek
surveying|Geodezja|Geodeta, kataster, pomiary, mapa
tool_hire|Wypożyczalnia narzędzi|Narzędzia, wiertarka, szlifierka
machinery_rental|Wynajem maszyn|Maszyny, wózek widłowy, sprzęt budowlany
generator_hire|Wynajem agregatów|Agregat, generator, prąd
electrical_installation|Instalacje elektryczne|Elektryk, kabel, gniazdko, rozdzielnia, bezpiecznik
plumbing|Hydraulika|Hydraulik, rura, kran, bojler, wyciek, łazienka
heating_hvac|Ogrzewanie|Piec, kocioł, grzejniki, pompa ciepła
air_conditioning|Klimatyzacja|Klima, chłodzenie, split, wentylacja
painting_decorating|Malowanie i wykończenia|Malarz, farba, tapeta, gładź
carpentry|Stolarka|Stolarz, drewno, meble, drzwi, szafa
flooring|Podłogi|Parkiet, panele, płytki, wykładzina
roofing|Dekarstwo|Dekarz, dachówka, rynna, izolacja
locksmith|Ślusarz i zamki|Zamek, klucze, awaryjne otwieranie, drzwi antywłamaniowe
cleaning_services|Sprzątanie|Firma sprzątająca, sprzątaczka, biura
gardening_landscaping|Ogrodnictwo|Ogrodnik, trawnik, żywopłot, drzewa, przycinanie
renovation|Remonty|Remont, wykonawca, budowa, wykończenia
car_repair|Warsztat samochodowy|Mechanik, przegląd, silnik, hamulce
mobile_mechanic|Mechanik mobilny|Pomoc drogowa, na miejscu, akumulator, awaria
tyre_service|Wulkanizacja|Opony, felgi, przebita opona, wyważanie
bodywork_paint|Blacharstwo i lakiernictwo|Blacharz, lakiernik, wgniecenie, szkoda
towing_recovery|Holowanie|Laweta, pomoc drogowa, wyciągarka
childcare|Opieka nad dziećmi|Żłobek, niania, opiekunka, przedszkole
elderly_care|Opieka nad seniorami|Opiekunka, towarzystwo, dom opieki
home_nursing|Pielęgniarstwo domowe|Pielęgniarka, opieka, paliatywna
private_tutoring|Korepetycje|Korepetytor, zadania, egzaminy, nauka
music_lessons|Lekcje muzyki|Pianino, gitara, skrzypce, śpiew, nauczyciel
